City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,ubari,26.5921,12.7805,32.17,18,0,2.42,LY,1689882540
266,rundu,-17.9333,19.7667,18.27,28,92,3.1,NA,1689882540
267,sogne,58.0833,7.8167,15.92,79,48,0.89,NO,1689882540
268,chinde,26.8418,88.0763,20.79,82,86,1.61,NP,1689882269
269,oyama,36.3,139.8,23.53,82,27,1.68,JP,1689882541
270,cidreira,-30.1811,-50.2056,17.59,85,100,7.41,BR,1689882398
271,ondjiva,-17.0667,15.7333,20.02,24,0,1.03,AO,1689882326
272,viqueque,-8.8673,126.3658,22.83,83,53,2.29,TL,1689882542
273,qusmuryn,52.4503,64.6311,19.04,79,93,3.44,KZ,1689882542
274,peace river,56.2501,-117.286,26.17,50,40,2.06,CA,1689882542
275,vredendal,-31.6683,18.5012,12.42,44,0,8.11,ZA,1689882542
276,shiyan,32.6475,110.7781,23.89,95,98,1.53,CN,1689882543
277,fale old settlement,-9.3852,-171.2468,27.98,78,25,5.88,TK,1689882396
278,santyoku,37.4406,129.1708,22.59,90,5,1.15,KR,1689882543
279,gore,-46.1028,168.9436,1.58,87,6,3.01,NZ,1689882543
280,auki,-8.7676,160.7034,25.2,90,97,2.2,SB,1689882416
281,marco island,25.9363,-81.7157,35.0,55,0,4.12,US,1689882544
282,micheweni,-4.9667,39.8333,24.99,81,0,7.72,TZ,1689882544
283,arkhangel'sk,64.5401,40.5433,16.03,94,70,4.43,RU,1689882404
284,itupeva,-23.1531,-47.0578,23.85,50,0,3.6,BR,1689882416
285,sainte-sigolene,45.2333,4.25,21.66,73,5,1.57,FR,1689882544
286,timbuktu,16.7735,-3.0074,37.27,29,17,4.59,ML,1689882545
287,leteri,24.05,77.4,28.84,72,75,2.3,IN,1689882545
288,awjilah,29.1081,21.2869,30.77,41,0,6.49,LY,1689882391
289,uturoa,-16.7333,-151.4333,24.65,63,14,7.93,PF,1689882284
290,harstad,68.799,16.5293,15.45,100,37,3.58,NO,1689882546
291,new plymouth,-39.0667,174.0833,10.45,76,100,10.67,NZ,1689882546
292,bontang,0.1333,117.5,24.86,90,100,5.24,ID,1689882469
293,makar'yev,57.8797,43.8069,13.66,86,100,4.25,RU,1689882546
294,badger,64.8,-147.5333,18.06,92,100,1.54,US,1689882291
295,shohimardon,39.9839,71.8028,22.43,52,17,0.43,UZ,1689882546
296,zhangjiakou,40.81,114.8794,21.56,69,94,2.66,CN,1689882425
